Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AC020911.2,6.375943397585338e-20,-0.8844447321298601,0.002,0.068,2.3262629486090106e-15
IL1B,1.6408286838012126e-13,0.5020471780734628,1,0.973,5.986563452848724e-9
BCAS3,1.962566958678514e-12,-0.39784043168792027,0,0.027,7.160425548738559e-8
AC083973.1,2.2379077313658774e-12,-1.1591443011502407,0.008,0.074,8.165006357888403e-8
TPT1,3.415478350271292e-12,0.3254482946381332,0.998,0.973,1.246137276096481e-7
VIM,3.4556126729461497e-12,0.4186417784711116,0.999,0.966,1.2607802837244028e-7
SOD2,6.856724693871624e-11,0.4272397461238002,0.998,0.953,2.501676004559062e-6
SERPINB1,7.382179100437531e-11,0.6009519555017939,0.874,0.635,2.693388044794633e-6
CCL3L1,1.4102203229300343e-10,0.5216539769576407,0.99,0.838,5.14518884821023e-6
EIF2S2,1.417576542295132e-10,0.4955333132995874,0.811,0.527,5.1720280145637885e-6
CXCL3,1.477731303754158e-10,0.5944964991247597,0.992,0.899,5.391502661747045e-6
HLA-DQA2,4.4073205368893785e-10,0.6598194410279716,0.561,0.277,1.6080108978840897e-5
EEF1A1,5.372474714323398e-10,0.3121893117757395,0.998,0.959,1.9601473995208918e-5
CCL4,1.080618586059378e-9,0.4678482609787231,0.995,0.932,3.9426369112376404e-5
LGALS2,1.6369336008454691e-9,0.5230928155464911,0.483,0.223,5.972352242684694e-5
MTHFD2,2.091533761205122e-9,0.46077695206862224,0.724,0.426,7.630960927756887e-5
CCL3,2.7282070476154367e-9,0.44537128227488054,0.999,0.953,9.953863413224921e-5
CCL4L2,2.771310425035063e-9,0.5301279565572186,0.978,0.811,1.0111126085740428e-4
TRMT12,2.971971079458691e-9,-0.27818840942648165,0.002,0.034,1.0843236483405033e-4
HES1,5.556258179525469e-9,-1.2161384481245594,0.008,0.061,2.0272007967998674e-4
DNAAF1,6.289857877681808e-9,0.4863341525734559,0.834,0.574,2.2948546466722077e-4
ISG20,1.0469132872749812e-8,0.558358785957958,0.863,0.608,3.819663128622769e-4
CTSL,1.2091694095327685e-8,0.490662194906454,0.895,0.689,4.411654590680306e-4
HIST1H3A,1.8169044450571096e-8,-0.8650401295763508,0.003,0.041,6.628975867790864e-4
UBA52,2.068019744962018e-8,0.35901191323984794,0.986,0.831,7.545170039493923e-4
CPNE5,2.8852136119664046e-8,-0.6000876019306645,0.005,0.047,0.0010526701863259426
ACD,2.9333331647729187e-8,-0.26751101856237947,0.005,0.047,0.0010702266051673993
MALAT1,3.1749841698733084e-8,-0.9379867011034069,1,1,0.0011583929743782765
"NACA",3.193734831403584e-8,0.3893056570137432,0.981,0.811,0.0011652341532375975
SELENOS,3.288770485357028e-8,0.4446267400425592,0.703,0.432,0.0011999079115825118
AC123777.1,3.3724659254336816e-8,-0.413541121030988,0.001,0.027,0.0012304441928944786
HIST1H2AH,3.46411362256351e-8,-0.39874124985111814,0.001,0.027,0.0012638818551922967
MRPS24,4.4028223837450335e-8,0.5332686933410016,0.62,0.378,0.0016063697467093754
YBX1,6.477355169586562e-8,0.29882936678408845,0.9,0.642,0.0023632630336236572
IL6,7.082043768482868e-8,0.49699685569948393,0.872,0.635,0.0025838836689309743
HSPA1B,7.324355381305907e-8,-0.9009716782482725,0.007,0.054,0.0026722910608694603
ITGB8,8.965268140406744e-8,0.22774912963116356,0.749,0.466,0.003270978081027401
EIF3F,9.690690575795177e-8,0.37037661081624274,0.678,0.453,0.0035356484565788704
FAU,1.1972058730895882e-7,0.3191237039257988,0.987,0.872,0.0043680056279673625
TXN,1.302811834195722e-7,0.31590160162369374,0.827,0.554,0.004753308977063091
PPIB,1.5536498332444303e-7,0.3761773942781321,0.871,0.669,0.005668491416592304
CYCS,1.5829359304165553e-7,0.13820322768553917,0.761,0.493,0.0057753417421248015
NEAT1,1.9776623365363094e-7,-0.8416324914384985,0.997,0.98,0.007215501034852725
TNFAIP6,1.9887808980242837e-7,0.4576069701999561,0.894,0.655,0.007256067106441599
SRP14,2.0808477118552578e-7,0.36012275035516894,0.795,0.534,0.007591972876703908
S100A4,2.3659002828435822e-7,0.342489731806368,0.974,0.764,0.00863198718195481
