Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LINC01226,1.0609614804858656e-17,-1.1843001995735738,0.004,0.067,3.870917961552681e-13
TERC,2.373626647414118e-15,-0.6371921753315827,0.002,0.044,8.66017682309041e-11
LGALS8-AS1,5.000346512605025e-14,-0.9378733656197838,0.002,0.044,1.8243764251239435e-9
ARPC5,1.2127899961485293e-13,0.47826965292183843,0.921,0.667,4.424864300947909e-9
NEAT1,6.120435290471377e-13,-0.8761344175869512,0.996,0.989,2.2330408157284817e-8
SOD2,6.847220356592381e-13,0.41851355334693086,0.997,0.944,2.49820834710273e-8
AL121944.1,4.300246372263716e-11,-1.4114662295261744,0.022,0.106,1.5689448889204168e-6
HIST1H2BH,4.8483466530223795e-11,-1.2147193149152273,0.007,0.061,1.768919276355215e-6
YBX3,6.680294265406726e-11,0.3505175918222272,0.753,0.461,2.4373053627336437e-6
HLA-DRA,1.2668460320280005e-10,0.48191429855870016,0.978,0.783,4.62208774785416e-6
AC024267.4,1.3995511084370717e-10,-0.44890298948096946,0.002,0.033,5.106262219132656e-6
HIST1H2BN,2.1341625974842918e-10,-1.0873712310267842,0.01,0.067,7.786492236921438e-6
DRAM1,2.3506323391344005e-10,0.4762289612844075,0.728,0.467,8.57628208933186e-6
TMBIM6,5.980854649933398e-10,0.32592421600360666,0.926,0.689,2.1821148190282003e-5
LGALS3,6.07865213177582e-10,0.3768232459430756,0.961,0.728,2.217796230278408e-5
FTL,6.812225658819943e-10,0.3869796028080188,0.994,0.906,2.485440531620456e-5
VIM,1.0105456391734913e-9,0.3248360998338473,0.999,0.983,3.686975764524483e-5
HLA-DPA1,1.2215580033303725e-9,0.49271202742917275,0.774,0.539,4.456854375150864e-5
SEC61B,1.3609128157228963e-9,0.412584454194183,0.926,0.683,4.9652904081649874e-5
HLA-DQA1,1.529196991147705e-9,0.5031880244082283,0.626,0.378,5.579275222202401e-5
YBX1,1.7649051049683418e-9,0.3465594868896025,0.955,0.728,6.439256275476995e-5
NPC2,2.687042930836648e-9,0.3109672824363914,0.914,0.694,9.80367613315751e-5
AC008532.1,3.2638742253121378e-9,-0.8647865219281524,0.006,0.05,1.1908245111051335e-4
HLA-DRB5,3.492889217398219e-9,0.47960456392723394,0.735,0.483,1.2743806309677402e-4
CTSL,3.612883950409693e-9,0.4775497713543122,0.835,0.639,1.3181607093069766e-4
FABP5,3.6519697501980424e-9,0.6775852028952347,0.631,0.389,1.3324211633597557e-4
CDV3,4.591584623899023e-9,0.24551390625874037,0.756,0.528,1.6752396500295584e-4
SNHG29,5.05550150744716e-9,0.4393170576628487,0.934,0.672,1.8444997249920963e-4
OLR1,5.3493172101391645e-9,0.3912020600497934,0.821,0.606,1.9516983841192742e-4
UBXN1,5.353782628921347e-9,0.41742347364941135,0.724,0.467,1.9533275921619536e-4
TPT1,6.2499794234096354e-9,0.2374143205326975,0.998,0.972,2.2803049926310056e-4
TXNRD1,8.389787712470133e-9,0.4525798935308958,0.708,0.472,3.0610140468947277e-4
HLA-DPB1,1.03103561111516e-8,0.45823108664524037,0.754,0.528,3.761733427153661e-4
EIF3H,1.072704492520665e-8,0.341018662706408,0.86,0.644,3.9137623409616463e-4
HIST2H3PS2,1.4606190026492808e-8,-0.9366194751202643,0.005,0.044,5.329068431165901e-4
"NACA",1.5794868511161333e-8,0.35677236094834885,0.984,0.8,5.762757776297213e-4
SLC2A6,1.6870555650139417e-8,0.33546120210490626,0.523,0.289,6.155222228953366e-4
TAB2,1.6931865095268223e-8,0.32527418816122566,0.458,0.244,6.177590980008612e-4
HLA-DQA2,1.7086223479731013e-8,0.38469957374994546,0.628,0.378,6.23390863657986e-4
GABARAP,2.015331924693974e-8,0.3674782013542379,0.938,0.7,7.352938527245965e-4
ADA,2.2731323143392997e-8,0.37533227643637623,0.867,0.6,8.293523248866935e-4
PLEKHA6,2.2875148549203205e-8,-0.3596175364590172,0.001,0.022,8.345997948176789e-4
UBA52,2.5211061842924102e-8,0.3373585648821331,0.989,0.817,9.198255913390859e-4
EIF3M,2.7712727415962962e-8,0.3940817943788155,0.647,0.422,0.0010110988597714086
CHCHD2,3.3653082320137866e-8,0.37456022419812207,0.9,0.656,0.00122783270845023
RGS10,3.66599493438839e-8,0.39142903651787386,0.585,0.35,0.0013375382518116042
FXYD5,4.146073062742569e-8,0.34640477954312177,0.901,0.678,0.0015126947569416263
TNFAIP8,4.6618997654191436e-08,0.3183124021938366,0.896,0.689,0.0017008941294131745
EIF3E,5.2344917084660374e-8,0.29568601979479414,0.872,0.633,0.0019098042998338337
ZFAS1,5.539267256585942e-8,0.3539557577434569,0.927,0.7,0.0020210016585653807
TNIP1,6.018872076710225e-8,0.22544996528866967,0.863,0.672,0.0021959854771877257
TMEM176B,6.235899551069483e-8,0.4103631821975432,0.527,0.306,0.002275167951207701
MALAT1,6.35266782142342e-8,-0.8973289732540781,1,0.994,0.002317770854646335
SLC7A11,6.450844094753145e-8,0.35629706675465256,0.871,0.617,0.0023535904679706852
BASP1-AS1,6.483689778520307e-8,-1.307966020401368,0.018,0.078,0.002365574215693134
HSPA1B,6.709278234857802e-8,-0.5906522150880443,0.003,0.033,0.0024478801639878692
PLAC8,6.719325086413534e-8,0.407641429009558,0.685,0.444,0.002451545757777978
CREG1,6.84674668207651e-8,0.457777629789218,0.633,0.417,0.0024980355269556146
GAS2,7.109982907324402e-8,-0.4818882577621354,0.003,0.033,0.0025940772637373082
HLA-DRB1,7.501920892901781e-8,0.37787747291560425,0.899,0.678,0.002737075837775215
LILRB2,7.830323690897484e-8,0.4073004937778829,0.526,0.3,0.0028568935986239474
NINJ1,8.362861917001129e-8,0.35513685506021675,0.958,0.733,0.0030511901704178617
EEF1A1,8.461484411345961e-8,0.26806082185064906,0.998,0.939,0.0030871725874795737
PNRC1,9.909433569949165e-8,0.29574993187575904,0.983,0.839,0.003615456837995953
ITGB8,1.1848020774336332e-7,0.3314669701053734,0.645,0.422,0.004322750379516611
BTF3,1.2559744721269025e-7,0.3402222621716704,0.971,0.75,0.004582422861555004
OGFRL1,1.2581361250266563e-7,0.4675353298560163,0.628,0.406,0.004590309652159756
LINC01792,1.3328577089886798e-7,-0.8506590584622233,0.01,0.056,0.004862931351245198
ARPC3,1.4481886643924417e-7,0.34395165671372174,0.965,0.717,0.005283716342035823
LGALS2,1.5680800772030743e-7,0.4270278383032029,0.584,0.372,0.0057211401616754165
AL499604.1,1.6647542993311657e-7,-1.3162900038806749,0.04,0.122,0.006073856061109758
