Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AC002456.1,1.1269984250447766e-12,0.3098978927365571,0.103,0,4.111853753775867e-8
AL139274.2,1.5368413510028112e-9,0.6324779033732486,0.103,0.002,5.6071656691337565e-5
BCAT1,1.5368413510028112e-9,0.34478796628022645,0.103,0.002,5.6071656691337565e-5
NRP1,1.6192231579135094e-9,0.3963524404997411,0.103,0.002,5.907735691647439e-5
SOX4,2.6743932909866696e-9,0.9062720261593581,0.138,0.006,9.757523922164863e-5
AC079807.1,6.592972231508843e-9,0.281662058042557,0.069,0,2.4054459186660014e-4
CALCRL,6.592972231508843e-9,0.19050720969510582,0.069,0,2.4054459186660014e-4
FBXL2,6.592972231508843e-9,0.19769772911802355,0.069,0,2.4054459186660014e-4
HIST1H2BH,6.592972231508843e-9,0.6607790908997835,0.069,0,2.4054459186660014e-4
TSPAN13,6.592972231508843e-9,0.2208546902688922,0.069,0,2.4054459186660014e-4
DOCK4,6.592972231508843e-9,0.2096730302102925,0.069,0,2.4054459186660014e-4
AL354710.2,6.592972231508843e-9,0.1569664046145011,0.069,0,2.4054459186660014e-4
AC010864.1,6.592972231508843e-9,0.20568391235059733,0.069,0,2.4054459186660014e-4
TMEM9B-AS1,6.592972231508843e-9,0.1846442516587427,0.069,0,2.4054459186660014e-4
CACNA1C-AS1,6.592972231508843e-9,0.27291563411493636,0.069,0,2.4054459186660014e-4
RHCG,6.592972231508843e-9,0.34562571569796807,0.069,0,2.4054459186660014e-4
LRRK1,6.592972231508843e-9,0.7913325108821175,0.069,0,2.4054459186660014e-4
ZNF554,6.592972231508843e-9,0.2726179896699958,0.069,0,2.4054459186660014e-4
CYB5D1,9.446603033841747e-9,0.4747919802648626,0.172,0.012,3.446593116897161e-4
VCAN,3.8691282302442394e-8,1.3955724235531703,0.138,0.008,0.0014116514348046108
KANK1,1.191665609579671e-7,0.39113554673341727,0.103,0.004,0.004347791976551429
HK2,1.2941390831056458e-7,0.3152606857045884,0.103,0.004,0.004721666444710949
SERINC5,1.5921301630962682e-7,0.6824612836528239,0.241,0.033,0.005808886900056735
EIPR1,1.9816707680343128e-7,0.7573748607971343,0.172,0.016,0.00723012579717319
SLC7A1,2.2801921899369611e-7,0.48403588383194385,0.207,0.025,0.008319281204985002
ZNF230,3.2018901833140794e-7,0.4786517140535387,0.138,0.01,0.011682096333821418
MANBA,1.4677484546514056e-6,0.49188927071664423,0.207,0.029,0.053550802367956535
PPBP,1.9142793791399102e-6,0.9672258446203372,0.103,0.006,0.06984248314791963
PF4,1.9808083435230962e-6,1.155059291844159,0.103,0.006,0.07226979241344017
AC124016.1,1.9906204585622375e-6,0.5254005725384513,0.138,0.012,0.07262778743064324
ACOD1,2.1205912075926457e-6,0.3682834469561105,0.103,0.006,0.07736977020901768
ITGB8,2.193988384724166e-6,0.2870680666422106,0.103,0.006,0.08004766621666119
SREBF2-AS1,2.213107030327762e-6,0.390152827676596,0.138,0.012,0.08074521000150839
EHBP1,2.3481687472949966e-6,0.19864270359332722,0.103,0.006,0.08567293674505795
HIST1H2BN,2.3481687472949966e-6,0.2977011164801666,0.103,0.006,0.08567293674505795
ADM,2.395446155317325e-6,0.2813551146551732,0.138,0.012,0.08739785297675261
C2orf88,4.031012106463602e-6,0.6773848925888308,0.069,0.002,0.14707147670432452
NRP2,4.223861263990221e-6,0.5866062962687957,0.069,0.002,0.1541075782166832
NSD2,4.223861263990221e-6,0.7819980788231395,0.069,0.002,0.1541075782166832
C5orf30,4.223861263990221e-6,0.21052325681378048,0.069,0.002,0.1541075782166832
GRB10,4.223861263990221e-6,0.17945032554835413,0.069,0.002,0.1541075782166832
RAB15,4.223861263990221e-6,0.199949239497982,0.069,0.002,0.1541075782166832
LINC01137,4.425533684054418e-6,0.1919889386026605,0.069,0.002,0.16146559646272543
C1orf112,4.425533684054418e-6,0.18652685883352468,0.069,0.002,0.16146559646272543
KBTBD8,4.425533684054418e-6,0.2522365390598314,0.069,0.002,0.16146559646272543
AF213884.3,4.425533684054418e-6,0.1545517193017149,0.069,0.002,0.16146559646272543
CSF2,4.425533684054418e-6,0.19749094791431818,0.069,0.002,0.16146559646272543
GEM,4.425533684054418e-6,0.2659397010942034,0.069,0.002,0.16146559646272543
AC124798.1,4.425533684054418e-6,0.20594560079471058,0.069,0.002,0.16146559646272543
