Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PRCD,4.624243154067808e-12,0.35946809718227996,0.083,0.004,1.6871551147616398e-7
HIST1H2BK,1.8389692077941756e-10,0.205544037362959,0.05,0.001,6.7094791546370495e-6
GRASP,2.4745359572057424e-10,0.7562696605731922,0.167,0.023,9.028344439865151e-6
PDE9A,3.111456819107219e-10,0.3249830799497363,0.067,0.003,1.135215020451269e-5
ETV5,9.467331014973206e-10,0.14547561442439516,0.033,0,3.454155720812974e-5
ATP8B4,9.467331014973206e-10,0.16585195475326917,0.033,0,3.454155720812974e-5
TNFRSF9,1.2984688387356068e-9,1.003251524069458,0.283,0.068,4.7374635581268616e-5
CLIC3,1.1551069800369756e-8,1.175543019823205,0.35,0.115,4.214407816664905e-4
TYMS,2.0376853295834192e-8,0.18279332927899047,0.05,0.002,7.434494924985105e-4
ZNF154,2.1631884638036932e-8,0.21406491907330225,0.05,0.002,7.892393110187774e-4
FRMD6,6.953660969133222e-8,0.23056622246225772,0.067,0.004,0.002537043204588256
CD3G,4.465617502328985e-7,-1.234054945011386,0.167,0.515,0.0162928054572473
CNN3,4.92368190019848e-7,0.25477525138111023,0.05,0.003,0.017964053412874152
FEZ1,5.997528004138953e-7,0.8026344924322992,0.517,0.243,0.02188198092310097
TNFRSF18,8.914253498457891e-7,0.9951966262853905,0.383,0.148,0.032523653889123615
SLC22A23,1.1248170524850128e-6,0.1801591287766662,0.033,0.001,0.04103895015991569
ZKSCAN3,1.1248170524850128e-6,0.12419880190144868,0.033,0.001,0.04103895015991569
AP001107.9,1.1248170524850128e-6,0.1576458342618014,0.033,0.001,0.04103895015991569
LINC01465,1.1248170524850128e-6,0.18274399141827385,0.033,0.001,0.04103895015991569
AC025580.2,1.1248170524850128e-6,0.20560616802420237,0.033,0.001,0.04103895015991569
AC093525.6,1.1248170524850128e-6,0.15551281018549615,0.033,0.001,0.04103895015991569
GSDME,1.1504300808094108e-6,0.16347994488839623,0.033,0.001,0.041973441498331356
ZNF862,1.1504300808094108e-6,0.14762440695834989,0.033,0.001,0.041973441498331356
FAM66B,1.1504300808094108e-6,0.14293926421705871,0.033,0.001,0.041973441498331356
CD300C,1.1504300808094108e-6,0.16171809648707725,0.033,0.001,0.041973441498331356
AL096701.3,1.1504300808094108e-6,0.27824904999646755,0.033,0.001,0.041973441498331356
F12,1.1766038147293775e-6,0.1294649968038187,0.033,0.001,0.042928390180401337
KHDRBS3,1.1766038147293775e-6,0.09713876752206661,0.033,0.001,0.042928390180401337
ENTPD1,1.1766038147293775e-6,0.1532721828599275,0.033,0.001,0.042928390180401337
KLRB1,1.5758709066261686e-6,0.8685193739737587,0.633,0.344,0.05749565002825576
ZNF677,2.118942923348942e-6,0.267762834244735,0.067,0.006,0.07730963255838616
CRAMP1,2.1683018108662048e-6,0.274754346220404,0.067,0.006,0.07911049156945348
CD3D,3.1990815925359907e-6,-0.7492479872338969,0.317,0.733,0.11671849190367563
ATAT1,4.830038314031409e-6,0.2556132852008621,0.05,0.004,0.17622394788743595
AC015871.4,4.830038314031409e-6,0.32928414766359404,0.05,0.004,0.17622394788743595
PLAGL1,5.036079819157143e-6,0.21198620978571983,0.05,0.004,0.18374137220194836
AC092821.3,8.445007609281353e-6,0.6978233892838654,0.283,0.101,0.3081161026246302
MYC,9.694476903874416e-6,0.3090049096507421,0.083,0.012,0.3537029898378581
MTMR2,1.0028347401225037e-5,0.40503881410590437,0.083,0.012,0.3658842549336955
FAM174A,1.0639210382984238e-5,0.30123252806403533,0.083,0.012,0.3881715908231799
SBNO2,1.2111933221731898e-5,0.37526578234036906,0.117,0.022,0.4419038835948883
GPBP1L1,1.4176776742142005e-5,0.5468130557907047,0.25,0.083,0.5172396994370511
TYROBP,1.4992472793919263e-5,0.6800249746525497,0.433,0.193,0.5470003698861443
AL109917.1,1.543243365616909e-5,0.08632165489739425,0.017,0,0.5630523419453293
AUNIP,1.543243365616909e-5,0.12581569443292956,0.017,0,0.5630523419453293
