Gene,TET2_log2FC,DNMT3A_log2FC,Pathway,log2_FC_diff_tet2_minus_dnmt3a
TSPO,-0.1006189172170191,0.6520385202359797,Inflammation,-0.7526574374529988
MNDA,0.5920507119069147,1.3306677253160588,Inflammation,-0.7386170134091441
S100A9,0.22493485160479132,0.911227410413508,Monocyte activation,-0.6862925588087166
SLC2A3,-0.3944727042290366,0.24483167018806928,Other,-0.6393043744171059
CD52,0.14884870452585908,0.7514823942531228,Other,-0.6026336897272637
RBP7,-0.3771193219579914,0.22345026978212323,Other,-0.6005695917401146
S100A8,0.09203184348004534,0.6864751914800173,Monocyte activation,-0.594443347999972
AC020916.1,0.0804915820109291,0.6564264447424377,Other,-0.5759348627315086
MCL1,0.01805684675069541,0.5892871648805391,Other,-0.5712303181298437
SELL,-0.01895232585043671,0.5511578837582817,Other,-0.5701102096087184
FOSB,0.4904054430846227,1.0580984092900327,Other,-0.56769296620541
NCF1,-0.03501240806445382,0.5220561573106868,Other,-0.5570685653751406
SLC25A37,-1.0781057245933474,-0.5236517707664003,Other,-0.5544539538269471
FOS,0.3069060358111222,0.8603890199328119,Other,-0.5534829841216897
PLBD1,-0.03755831423311395,0.5124692723884279,Other,-0.5500275866215418
KLF4,0.6957642189265314,1.2435480727773374,Inflammation,-0.547783853850806
RAB11FIP1,0.13658069536761783,0.6770188960599477,Other,-0.5404382006923298
IVNS1ABP,-0.5904276880921094,-0.05084346845681753,Other,-0.5395842196352919
FPR1,-0.4571384255183319,0.076891725196375,Other,-0.5340301507147069
FYB1,0.0767286988454281,0.6000871816424218,Other,-0.5233584827969937
SLC11A1,-0.5264590367324655,-0.01102943229204123,Other,-0.5154296044404243
LY86,-0.17235583004638477,0.33732233915478627,Other,-0.509678169201171
EGR1,0.2031849224504494,0.6951064959219893,Other,-0.49192157347153986
KLF6,0.05054834516210826,0.5372810181710403,Other,-0.4867326730089321
GCA,0.01514390675417476,0.4936847553370689,Other,-0.47854084858289414
PLAUR,-0.4013064682993588,0.07496861023586865,Other,-0.47627507853522744
LSP1,-0.10274116104161446,0.37106975619464344,Other,-0.4738109172362579
TUBA1A,0.5464309441467424,1.019999934046376,Other,-0.4735689898996335
ARL4C,-0.7161669796947736,-0.24821622364409943,Other,-0.46795075605067415
TNFAIP3,-0.1990305342066141,0.26862300363138747,Other,-0.46765353783800157
FGL2,0.41594512330292543,0.8808510672787386,Other,-0.4649059439758132
MPEG1,-0.26093550506219243,0.20377479076818483,Other,-0.46471029583037726
ARHGEF40,-0.01873141765026603,0.4452880478759017,Other,-0.46401946552616774
SAMHD1,0.24257990211592728,0.7036646163101269,Other,-0.4610847141941996
VSIR,0.2714225742781414,0.732091549051732,Other,-0.4606689747735906
NLRP3,-0.1368207058340536,0.3166227696130659,Other,-0.4534434754471195
JAML,0.2738933433774118,0.7255672777190054,Other,-0.45167393434159364
"NAIP",-0.07330412043184797,0.3745770020399919,Other,-0.44788112247183987
DUSP1,-0.0379471848532007,0.4051092376220206,Other,-0.4430564224752213
IFITM2,0.4190966795402531,0.8596788531550894,Inflammation,-0.4405821736148363
LRRK2,0.00630126504526473,0.4407473283740896,Other,-0.43444606332882485
SLC43A2,-0.6683850858491589,-0.2341132172152096,Other,-0.4342718686339493
GMFG,0.1736692175863095,0.6039180019762578,Other,-0.4302487843899483
BLOC1S1,-0.05379650610702558,0.3740651312354588,Other,-0.4278616373424844
ARHGAP26,-0.21114609269363416,0.21489213420581077,Other,-0.4260382268994449
CDA,-0.2026251966907141,0.22063965363248372,Other,-0.42326485032319783
NFKBIZ,-0.00628114612799191,0.41364274298299897,Other,-0.4199238891109909
CD226,-0.4113831697525171,0.00345633664438838,Cell adhesion,-0.4148395063969055
CLEC12A,0.07278821229903287,0.485080431923117,Other,-0.41229221962408413
VCAN,-0.19280393157969833,0.21865855891310115,Other,-0.4114624904927995
CXCL8,0.04398452575130829,-0.3850722564209814,Inflammation,0.4290567821722897
GPR183,0.1646951299121988,-0.26540682346482614,Other,0.43010195337702495
ITGB8,-0.16045180949635096,-0.5928384151435044,Other,0.4323866056471535
MTSS1,0.1709672111345868,-0.2627339993760429,Other,0.4337012105106297
TNNT1,0.5869846862653717,0.14402771158152045,Other,0.44295697468385126
SNHG29,0.5492913547003369,0.10461856771786282,Inflammation,0.44467278698247403
LDHA,0.48910294768952456,0.04042379534172746,Other,0.4486791523477971
CD109,-0.02461747155776117,-0.474423690343864,Other,0.44980621878610283
NBPF19,-0.4412211487263933,-0.8919416707031387,Other,0.4507205219767454
IL1RN,-0.03954472822437616,-0.4913200946478078,Inflammation,0.45177536642343163
SNX9,0.01877520767682883,-0.44323461426678745,Other,0.4620098219436163
PLAC8,0.5226569810145794,0.05770570195624214,Other,0.4649512790583372
CXCL2,0.3697980323030201,-0.09618083867451688,Other,0.465978870977537
PRDX1,0.589497399250019,0.1232302071562259,Other,0.4662671920937931
CFD,0.865631972616955,0.39928309828554687,Inflammation,0.46634887433140815
MAP1LC3A,0.17320436931868266,-0.2941457476536178,Other,0.46735011697230044
OLR1,-0.07539412380558153,-0.5461059395248449,Other,0.47071181571926335
RAB13,-0.07054855135015181,-0.546091302287683,Other,0.4755427509375312
C1orf21,0.42513596218875827,-0.05280246497484625,Other,0.4779384271636045
TNFAIP6,-0.16453381041228843,-0.6572362077491132,Inflammation,0.49270239733682475
FN1,0.5011421442129029,0.00574710753687995,Other,0.49539503667602297
PMP22,0.4506409931230939,-0.0469607603851999,Other,0.49760175350829383
IL1B,0.6605869753956553,0.14475846875415144,Inflammation,0.5158285066415038
EMP1,0.46267654890120014,-0.0649087156834467,Other,0.5275852645846468
CD59,0.5009867748809582,-0.03759121972238166,Other,0.5385779946033399
HSPA5,0.0787883809648875,-0.4623684023195884,Other,0.5411567832844759
ADIRF,0.5793108346036839,0.01140798715669595,Other,0.5679028474469879
HIST1H1C,0.7013096202754007,0.11667258556283522,Other,0.5846370347125655
PDE4DIP,-0.4955568201607723,-1.082811283942819,Other,0.5872544637820467
AKR1C1,0.48620805624515995,-0.1169396751570634,Other,0.6031477314022233
HBA1,0.6728111614685685,0.06009491046304227,Other,0.6127162510055262
HLA-DRB5,0.4470085703661215,-0.1755656649567685,Antigen presentation,0.62257423532289
THBD,0.6347383121456859,-0.01587951478064153,Other,0.6506178269263274
HBA2,0.755666901485418,0.08214226259018131,Other,0.6735246388952367
MIR4435-2HG,0.642703143854064,-0.04327631090600159,Other,0.6859794547600656
TXNRD1,-0.14023050176788332,-0.8312428333726449,Other,0.6910123316047616
EIF1B,0.7518746984184372,0.05740686247119475,Other,0.6944678359472425
CYTOR,0.6187241243810182,-0.08504078983414143,Other,0.7037649142151596
C1orf122,0.3671256831191741,-0.36393115601267834,Other,0.7310568391318524
MMP19,0.34908752797149434,-0.3890745935624775,Other,0.7381621215339718
THBS1,0.27046296948919046,-0.49482336948739913,Other,0.7652863389765896
FABP5,0.6877812423036609,-0.1095851688935594,Other,0.7973664111972203
CYP1B1,0.1949210185904895,-0.6124120967997362,Other,0.8073331153902257
LMNA,0.6253365283927859,-0.20365316601240036,Other,0.8289896944051862
ADA,-0.3471610541005208,-1.17888773493046,Other,0.8317266808299393
HBB,1.1910382792181644,0.18725851320647305,Other,1.0037797660116914
CCL7,1.017219848554197,6.689638322057156e-4,Other,1.0165508847219913
CXCL1,0.9614895335706616,-0.05619287752607915,Other,1.0176824110967406
SLC7A11,-0.526855413992386,-1.715976272161562,Other,1.189120858169176
CXCL3,1.1773143838461424,-0.02717981147051151,Inflammation,1.204494195316654
