Gene,TET2_log2FC,DNMT3A_log2FC,Pathway,log2_FC_diff_tet2_minus_dnmt3a
SNHG5,-0.01610267714705227,0.5335956106111541,Other,-0.5496982877582064
SNHG8,-0.20525533900210657,0.3393944250349099,Other,-0.5446497640370165
PPBP,0.02869224608107873,0.542540634786425,Other,-0.5138483887053462
DNAJC15,-0.20792771334719684,0.29829004225885614,Other,-0.506217755606053
TUBA1B,0.17634502845695121,0.6338409113194046,Other,-0.45749588286245335
ATP1B3,0.30561600176166825,0.7562272236174543,Other,-0.45061122185578606
TUBA1A,0.2901872259510123,0.7097093626403141,Other,-0.41952213668930183
BRD7,-0.33413688320472135,0.0764929407691326,Other,-0.41062982397385395
UCP2,0.2441266427715565,0.6539199587875131,Other,-0.4097933160159566
ABCG1,0.08114177426200009,0.47282687278193813,Other,-0.39168509851993805
OSBPL8,0.04616877908811911,0.43061627279315706,Other,-0.38444749370503795
TUBB4B,0.10417962595471963,0.4785326337092013,Other,-0.37435300775448166
EZR,0.5802878279268668,0.9452756649320766,Other,-0.36498783700520976
TUBA4A,0.18672990295069056,0.541248630608054,Other,-0.35451872765736336
VIM,0.1985467320525176,0.5459738294094452,Inflammation,-0.34742709735692756
YIPF5,-0.1787940868101452,0.1646580009259606,Other,-0.3434520877361058
MT2A,-0.03632771767940657,0.3003443192340831,Other,-0.3366720369134897
TXNIP,-0.3619887020615278,-0.03716067421685576,Other,-0.324828027844672
RNF145,0.12149538347723876,0.44391974047778393,Other,-0.32242435700054517
ITGB1,-0.32942820273140505,-0.00996580212619058,Cell Adhesion,-0.31946240060521447
MT1E,0.05488974524779144,0.3716932975854847,Other,-0.31680355233769325
KLF3,-0.00131417931016319,0.3090312990898314,Other,-0.3103454783999946
ANXA1,0.33623992742501674,0.6414951409144996,Other,-0.3052552134894828
GABARAPL1,0.41324566954468,0.7153900319871891,Other,-0.3021443624425091
PHACTR2,-0.6027166645911939,-0.30287508957294196,Other,-0.2998415750182519
PF4,-0.0079735334221304709,0.2841172256216765,Other,-0.292090759043807
CD5,-0.13579793395758555,0.14838334643144124,Other,-0.2841812803890268
S100A11,0.026199035139852,0.30660772427716587,Monocyte Activation,-0.28040868913731387
ETS1,-0.00997968835257312,0.2704276876772882,Other,-0.2804073760298613
SPTBN1,0.09278106875384728,0.3703455949384433,Other,-0.27756452618459604
YWHAQ,0.1421448988457681,0.4177091139716356,Other,-0.27556421512586754
PRDX1,0.47968130915645135,0.7510811027466784,Other,-0.27139979359022703
RRP7A,0.12828772841477387,0.39958105492541907,Other,-0.2712933265106452
NDUFA12,-0.18198459241593248,0.08416270806140846,Other,-0.2661473004773409
STK17A,0.00871624781940605,0.27190607875722383,Other,-0.2631898309378178
TMEM156,0.08976148712123116,0.3391717421645299,Other,-0.24941025504329872
OASL,0.0883142878710419,0.3356418965025163,Other,-0.2473276086314744
TNFSF8,0.1035625851750196,0.34894337444300605,Other,-0.24538078926798645
SLFN5,-0.2559329427278909,-0.01464937634308194,Other,-0.24128356638480897
BICDL1,-0.02820488060312986,0.2109028646631146,Other,-0.23910774526624445
CNN2,0.11673165105265026,0.3554653871766653,Other,-0.23873373612401505
ARID5B,0.2137980812901441,0.44985549727308216,Other,-0.23605741598293806
PKIA,-0.5065326437587501,-0.27177591689958347,Other,-0.2347567268591666
CORO1B,-0.1675874919914479,0.0644551787368487,Other,-0.2320426707282966
SNU13,0.04653705256898544,0.27636181932185533,Other,-0.2298247667528699
UBB,0.5625427549210094,0.7889781105364304,Other,-0.22643535561542105
ESF1,-0.12119449955534378,0.1013119792891668,Other,-0.22250647884451058
PNP,0.19349857964454908,0.415837108009199,Other,-0.2223385283646499
CCDC144A,-0.23017551754158252,-0.00823933242490954,Other,-0.22193618511667298
FNBP1,0.11318611130367008,0.33455207064877124,Other,-0.22136595934510117
SAMD9L,-0.3462354837577939,-0.6695442190975275,Other,0.3233087353397336
CD8A,0.305221954486697,-0.03196340171597311,Other,0.3371853562026701
NEAT1,0.1982693334134762,-0.14134734871604104,Inflammation,0.33961668212951723
CMTM8,0.03771905540318121,-0.30223032048659837,Other,0.3399493758897796
HLA-DQB1,0.257940653159871,-0.08457767374542269,Other,0.3425183269052937
LY6E,-0.753655894295852,-1.1111892420174063,Other,0.3575333477215543
ZEB2,0.49092512950332035,0.13258772128739182,Other,0.3583374082159285
MX1,-0.6897270212385527,-1.0481533719162222,Other,0.3584263506776695
AIF1,0.5084779686885397,0.14619069321151065,Inflammation,0.362287275477029
BST2,-0.4451666287011725,-0.812086104314527,Other,0.3669194756133545
MARCKS,0.3059657806901258,-0.0632380800566375,Other,0.3692038607467633
PRKY,0.17387935333914867,-0.1986511230544554,Other,0.37253047639360404
GBP5,0.22632932586704269,-0.147714266691912,Other,0.3740435925589547
G0S2,0.346238631551371,-0.03499109988506066,Other,0.3812297314364317
KLRD1,0.3269835307533099,-0.05715362442562977,Other,0.38413715517893965
RNASET2,0.4080135738639947,0.01432285621437157,Other,0.39369071764962316
IL1RN,0.3850211811611083,-0.00965517441114796,Inflammation,0.3946763555722562
GZMH,0.118582579884017,-0.27772929942355656,Other,0.39631187930757356
CYP1B1,0.3922440463377892,-0.01619806052905638,Other,0.40844210686684557
GZMB,0.2994408172178029,-0.11709257820986818,Other,0.4165333954276711
S100A8,0.46838973922199345,0.02209599265356013,Monocyte Activation,0.44629374656843335
MX2,-0.37184956277202685,-0.8269409814637583,Other,0.4550914186917314
IER3,0.4163894780615842,-0.03917793783865775,Other,0.45556741590024197
EREG,0.43703150343327657,-0.03153439315232378,Other,0.46856589658560033
TYROBP,0.3652026549564807,-0.10488366836985435,Other,0.47008632332633504
C15orf48,0.32982056020373274,-0.1626009306534621,Other,0.49242149085719483
SERPINB2,0.372437517866095,-0.1315922141651081,Other,0.5040297320312032
USP9Y,0.13131704117441734,-0.3838729386554332,Other,0.5151899798298505
IFI6,-0.5682160524002464,-1.122859752660109,Other,0.5546437002598625
NKG7,0.3361000900283191,-0.24201444999414656,Other,0.5781145400224657
S100A9,0.748552493410547,0.1635933066302543,Monocyte Activation,0.5849591867802927
CCL4L2,0.7163224024610705,0.1091334654126398,Inflammation,0.6071889370484307
PTGS2,0.5478720483833195,-0.07944255702763281,Other,0.6273146054109523
EIF1AY,0.33556633496452326,-0.31531892150093344,Other,0.6508852564654567
HBA1,0.646929118887842,-0.00584557717378267,Other,0.6527746960616246
SOD2,0.9653735892972276,0.2237488079189589,Monocyte Activation,0.7416247813782687
CCL3L1,0.667789033828549,-0.07930716390024906,Inflammation,0.7470961977287981
IFITM1,0.4659579511154983,-0.305525990181182,Other,0.7714839412966803
CXCL2,0.8140319010716983,0.0253389363513472,Other,0.7886929647203511
DDX3Y,0.5377052010517696,-0.32985277165972754,Other,0.867557972711497
THBS1,0.8333866168510307,-0.03843916201229447,Other,0.8718257788633251
LYZ,1.0115016032108537,0.02504777604457747,Monocyte Activation,0.9864538271662763
HBA2,0.9704597948059424,-0.02849424632057339,Other,0.9989540411265158
CCL4,0.9308758303579618,-0.11799389358515232,Inflammation,1.0488697239431142
CCL3,1.1417960112567354,0.02108884382378062,Inflammation,1.1207071674329547
CXCL3,1.2436127676193938,-0.04386762765045537,Inflammation,1.287480395269849
CXCL8,1.3528501568640463,-0.1291862447091514,Inflammation,1.4820364015731977
IL1B,1.5334832142233137,-0.01455401340287609,Inflammation,1.5480372276261898
GNLY,0.34608226171021483,-1.3855299262012488,Other,1.7316121879114637
HBB,1.9517727210593396,-0.01692788649104933,Other,1.968700607550389
