Gene,TET2_log2FC,DNMT3A_log2FC,Pathway,log2_FC_diff_tet2_minus_dnmt3a
TUBA1A,0.3819465402724944,0.9012053997213862,Other,-0.5192588594488918
CD52,0.04827013605581154,0.5508622040941309,Other,-0.5025920680383194
FOS,0.911288344591858,1.40603149241334,Other,-0.4947431478214819
S100A4,0.37742105253924585,0.8528869410589093,Monocyte Activation,-0.4754658885196634
IL32,0.02508160051261887,0.4858623736474144,Other,-0.46078077313479554
KLF2,0.09206657940264452,0.5303278155811268,Other,-0.43826123617848234
SNHG5,0.1054248224161718,0.5306215657628455,Other,-0.4251967433466737
ZFP36,0.18035334695259553,0.6013285616492638,Other,-0.4209752146966683
DUSP1,0.778689965475063,1.1923242432277847,Other,-0.41363427775272177
JUNB,0.59255629361743,1.004992591500654,Other,-0.4124362978832239
RGCC,0.2812796059441647,0.6815578199007102,Other,-0.4002782139565455
CD69,0.6934733439902265,1.086634803325222,Other,-0.39316145933499547
FOSB,0.977982418862134,1.364583407739061,Other,-0.38660098887692707
GABPB1-AS1,-0.29034908624737565,0.07135349690169535,Other,-0.361702583149071
CORO1B,-0.08678940642183264,0.26359219654461674,Other,-0.3503816029664494
DNAJB1,0.5471019103319588,0.8914225708994068,Other,-0.34432066056744803
LIME1,-0.0018030010604364,0.33540346029591084,Other,-0.33720646135634724
JUN,1.0024349952247964,1.338587862208923,Other,-0.3361528669841265
TMSB10,0.17654575873227518,0.5042317926747897,Other,-0.3276860339425145
MYL12A,-0.1334431150895985,0.18298701896324543,Other,-0.3164301340528439
YPEL5,0.6083828874341317,0.9145125093509988,Other,-0.3061296219168671
ID1,0.21212226234067663,0.5119706512850065,Other,-0.29984838894432986
JUND,0.8104348224367519,1.1047116963379433,Other,-0.2942768739011914
ARHGAP15,0.24102498371683825,0.5350927342870068,Other,-0.29406775057016854
MZF1-AS1,0.24133746173682388,0.5315990721745311,Other,-0.29026161043770715
TENT5C,0.1688245100746103,0.45889157731316776,Other,-0.29006706723855746
BTG2,0.08926918428649189,0.3788057566298695,Other,-0.2895365723433776
PRKCQ-AS1,-0.47163594470354786,-0.1835266175666064,Other,-0.2881093271369415
ITGB1,-0.2267652072918973,0.05532214857212381,Cell Adhesion,-0.2820873558640211
DNAJC15,-0.05446389752891401,0.22721523798384635,Other,-0.28167913551276036
GPSM3,-0.17379867754334644,0.10375423657886708,Other,-0.2775529141222135
ARID5B,-0.17382275422736426,0.09899918100789762,Other,-0.2728219352352619
CCDC144A,-0.1127918544247858,0.15635080484133396,Other,-0.26914265926611974
DDX3Y,0.460375920359128,0.7294097556355461,Other,-0.2690338352764181
GMFG,-0.11319771820558168,0.1524214470472649,Other,-0.26561916525284657
SH3YL1,-0.19194371937433852,0.06996434904897053,Other,-0.26190806842330905
KLF6,0.4941784720776199,0.7515299982664554,Other,-0.2573515261888355
NSMCE3,0.03051692115581961,0.2867299228825273,Other,-0.2562130017267077
ATP2B1-AS1,0.5869458497183668,0.839433786833822,Other,-0.25248793711545514
CNN2,-0.01626019382428056,0.22922677715663164,Other,-0.2454869709809122
LINC01871,-0.2401996481943544,0.0046839355754259,Other,-0.2448835837697803
LTB,-0.06442522276802354,0.17925105754335657,Other,-0.2436762803113801
ACTB,0.2613642311129949,0.5017368003983207,Other,-0.2403725692853258
TSTD1,0.03061663743790954,0.26865301829510235,Other,-0.2380363808571928
REX1BD,0.00579031688782016,0.24314597335507585,Other,-0.23735565646725568
ARL4A,0.35404709169384074,0.5884852006825458,Other,-0.2344381089887051
GSTK1,0.2008870460120451,0.4336359285086919,Other,-0.23274888249664683
PRDX2,0.01612424388175926,0.24722865857889983,Other,-0.23110441469714058
TUBA4A,0.28895781261584674,0.5198675111286641,Other,-0.2309096985128174
SMDT1,0.1254743713717006,0.35366965980837284,Other,-0.22819528843667225
AQP9,0.2164046757744523,-0.02767909598480639,Other,0.2440837717592587
IGKC,0.2725992615463398,0.02613228337537099,Other,0.2464669781709688
CIB1,0.2510757578523002,0.00210327050405512,Other,0.24897248734824506
SLC7A5,0.3295086448450816,0.07753335397435096,Other,0.2519752908707306
CCL2,0.11035699720581946,-0.1421120934455204,Other,0.2524690906513398
MXRA7,0.2096204988654794,-0.04331936887855664,Other,0.25293986774403604
PPP1R14B,-0.2417262586197733,-0.4957451661655192,Other,0.25401890754574596
FCER1G,0.3252583631907604,0.07041722204320272,Monocyte Activation,0.2548411411475577
SQSTM1,0.06626377502506298,-0.19169283473990673,Other,0.2579566097649697
CD74,0.4559854386723372,0.19608776167663455,Antigen Presentation,0.25989767699570265
PLEK,0.27069913374795307,0.00797647915365795,Other,0.2627226545942951
EFHD2,0.6379793886363823,0.3726917474464888,Other,0.26528764118989345
MX1,-0.3137740531689476,-0.5799828507521485,Other,0.26620879758320093
CCL20,0.15763103474294043,-0.11279118976280172,Other,0.27042222450574216
METRNL,0.3954489789088237,0.1231232408152797,Other,0.272325738093544
HLA-DQB1,0.2632296677705459,-0.00959224185632823,Other,0.27282190962687414
RELB,0.26751148240494027,-0.00705352447064289,Other,0.27456500687558316
C1orf21,0.23992288888994603,-0.04147423970004971,Other,0.28139712858999577
GIMAP5,-0.464544974607763,-0.7470041283657727,Other,0.2824591537580097
KLRD1,0.3936373701343576,0.09709659879892296,Other,0.29654077133543466
CEBPD,0.19984454392559187,-0.09803709080545386,Other,0.29788163473104573
STAT4,0.40926662410838366,0.09097722449970812,Other,0.3182893996086755
TYROBP,0.342038344844136,0.02025800997780563,Other,0.32178033486633034
LGALS3,-0.14363414101645278,-0.4675104033993556,Inflammation,0.32387626238290285
EREG,0.4214628577945973,0.08763876521630393,Other,0.3338240925782934
IER3,0.3994542737870203,0.04588602209657144,Other,0.35356825169044886
CYP1B1,0.2905628833444279,-0.06435518113449809,Other,0.35491806447892604
MARCKS,0.35438064029797023,-0.01065809119764862,Other,0.36503873149561883
ZEB2,0.7323809925587754,0.36327005248038013,Other,0.3691109400783953
LYZ,1.044552519086555,0.6698896874753193,Monocyte Activation,0.3746628316112357
HLA-DRA,0.6133524691492543,0.23621805899934467,Antigen Presentation,0.37713441014990967
PTGS2,0.4517149907917785,0.04707461385401335,Other,0.40464037693776517
C15orf48,0.30805543755181647,-0.10956801943292388,Other,0.41762345698474035
NKG7,0.6386147060482594,0.19754850669983637,Other,0.44106619934842306
APOBEC3G,0.18382482649775175,-0.2914719684646192,Other,0.475296794962371
SERPINB2,0.36068048384127505,-0.188045801617166,Other,0.548726285458441
HBA1,0.961485438782347,0.3410000856476165,Other,0.6204853531347305
CCL3L1,0.6138597035024771,-0.03384595069526874,Inflammation,0.6477056541977458
