id	Gene	Average expression scaled	Percent expression	Pathway	orig.ident	STIM	MUTATION.GROUP	Mutation group	vaf_identifier	identifier
CH-21-014_VEH	CCR1	20	28.66880513231756	IL6	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	CD14	20	46.712109061748194	IL6	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	BRI3	20	82.47794707297514	Adhesion	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	CD36	20	10.264635124298316	IL6	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	CSF2	1	7.337610264635125	IL6	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	CD74	20	94.54691259021651	Antigen	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	CXCL3	1	95.22854851643946	IL6	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	CXCL8	1	99.95990376904571	Adhesion	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	CTSS	20	95.42902967121091	Antigen	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	IL1B	1	99.27826784282277	IL6	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	IL1R1	1	38.85324779470729	IL6	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	IL6	1	22.012830793905373	IL6	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	FYB1	20	10.54530874097835	Antigen	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	JUN	20	62.67040898155574	IL6	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	IL1B	1	99.27826784282277	Adhesion	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	IFI30	20	87.00882117080995	Antigen	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	IL6	1	22.012830793905373	Adhesion	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	LILRB2	20	50.96230954290297	Antigen	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	ITGB2	20	42.34161988773055	Adhesion	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	LST1	20	81.43544506816359	Antigen	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
CH-21-014_VEH	NFKB1	1	91.57979149959904	Adhesion	CH-21-014	VEH	TET2	TET2	TET2 8: 0.51	TET2 8 VEH
