Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
IL1B,1.86801822368146e-155,4.287693412950493,0.998,0.925,6.815464489101807e-151
CCL3,4.530641724754127e-151,4.046465028977432,0.996,0.899,1.6530046332765433e-146
IFI30,4.624546070091267e-147,-2.957573767712994,0.638,0.985,1.687265633672799e-142
IL1A,1.7907127296113677e-145,3.8985805402933558,0.924,0.121,6.533415393987075e-141
CCL4,4.373411314826365e-145,3.7419880018812854,0.998,0.845,1.5956391182143994e-140
IL6,1.3420004876408313e-142,5.193080038152816,0.913,0.153,4.896288779157573e-138
CXCL8,8.677080745667285e-140,2.3176804815730288,1,0.998,3.165832910056709e-135
ANXA1,2.677889190793157e-129,-2.713883047352459,0.718,0.983,9.770278712608833e-125
MIR3945HG,2.161277644314377e-127,3.074538517332471,0.878,0.125,7.885421485281005e-123
SOD2,3.825943660615356e-126,1.1366074324904165,0.998,1,1.3958955445755126e-121
CCL3L1,2.155349590369606e-123,3.4937774970764517,0.987,0.871,7.863792980463507e-119
PTGS2,2.430031848698969e-122,3.1559070494829147,0.98,0.588,8.86597119997819e-118
CXCR4,1.3847913449423528e-118,-2.8532915942149675,0.096,0.8,5.052411222022174e-114
TNFAIP6,2.9389487654856535e-118,3.0603366811211554,0.968,0.515,1.0722754570874407e-113
SH3BGRL3,6.661965780468376e-118,-1.6004619622268517,0.924,0.989,2.430618215003887e-113
ZEB2,1.0249946061650955e-116,-1.959052049890814,0.788,0.991,3.739692820593351e-112
MIR155HG,9.549869416340646e-113,2.7173405277112987,0.876,0.181,3.4842698565518845e-108
CXCL2,1.0162313749446665e-111,2.399608636058529,0.994,0.892,3.707720171485616e-107
CCL20,4.902606679421319e-111,3.6893238740615555,0.831,0.123,1.7887160469868682e-106
LAPTM5,2.856208384688798e-110,-1.579211699404472,0.835,0.985,1.042087629153708e-105
TYROBP,3.064247136819517e-110,-1.48726587232309,0.896,0.996,1.1179905678686008e-105
EVI2B,8.506658137668403e-110,-2.4471541499432417,0.254,0.86,3.103654221528317e-105
IER2,2.060019769763475e-109,-2.3288928323043403,0.581,0.957,7.515982129982039e-105
GPR183,2.1929992359485977e-108,-2.477262468148855,0.191,0.845,8.001157712358459e-104
INHBA,2.387049021884004e-108,4.010560372687626,0.818,0.147,8.7091483563437875e-104
BCL2A1,1.172714980982671e-107,1.995440003092805,0.974,0.629,4.278650608115275e-103
CTSB,2.1181108467540975e-105,-2.2402879336071106,0.364,0.888,7.727927424382325e-101
S100A6,8.628832500255132e-105,-1.6408496691861707,0.95,0.991,3.1482295377180847e-100
FOS,3.246318261021747e-104,-2.9331603733112757,0.134,0.78,1.1844192175337846e-99
EEF1A1,6.298804198680699e-103,-0.9793302326048181,0.994,1,2.298118711888653e-98
S100A10,7.446544210400672e-101,-1.3411411034644845,0.963,0.996,2.716871655164685e-96
NEAT1,6.590124643235375e-99,-1.6398069028980302,0.996,0.998,2.4044069760844265e-94
EVI2A,2.6364624943790216e-97,-2.199807777353291,0.137,0.746,9.61913341074186e-93
VCAN,6.060345763247795e-96,-4.008058852976219,0.163,0.765,2.211117151720958e-91
NFKB1,7.24709493162637e-89,1.3875435939910443,0.993,0.765,2.644102585803881e-84
FTL,4.346249149741059e-88,-1.336383251319476,0.991,0.998,1.5857290022830254e-83
HMGA1,7.482205659207325e-87,-1.7440361712839465,0.353,0.869,2.7298827347617923e-82
CCL4L2,1.0083918631851375e-85,3.123077549534696,0.952,0.731,3.679117712830974e-81
ID2,3.989980447077809e-84,1.8539668388859718,0.863,0.28,1.4557443661163386e-79
JUND,1.1726925588074902e-82,-1.6218521222714526,0.414,0.881,4.278568800809128e-78
PTPRC,1.7987918896293213e-82,-1.7043893703659099,0.583,0.931,6.562892209312579e-78
GRAMD1A,3.263202492459675e-82,1.7031341299760838,0.826,0.272,1.1905794293739124e-77
LYZ,3.295795830088823e-82,-2.0295341044521384,0.647,0.929,1.202471108607907e-77
COTL1,3.468941712484746e-82,-1.7828878868716145,0.284,0.808,1.2656433838000596e-77
GAPDH,5.280654121551624e-82,-1.3543897232452857,0.952,0.994,1.92664665624811e-77
EHD1,1.0901475444776015e-81,1.741187553972496,0.822,0.194,3.977403316026529e-77
SLC44A1,1.2159347354878888e-81,-1.9495257457068926,0.226,0.756,4.436337882427563e-77
CXCL3,5.52633937764659e-81,2.514267241126009,0.931,0.722,2.0162849219343584e-76
ITGB1,1.213752610840261e-80,-1.4339823702436907,0.735,0.94,4.428376400650692e-76
PLEK,3.556053530828438e-80,1.7201122348440534,0.95,0.552,1.2974261307227556e-75
AZIN1-AS1,3.909704850199284e-80,1.7660592029357551,0.824,0.248,1.426455814595209e-75
PFN1,2.21474815263456e-79,-1.4016062328765702,0.711,0.946,8.080508634887192e-75
BRI3,3.83836381769286e-79,-1.3479135125403534,0.742,0.953,1.40042703888524e-74
CCR1,2.2222170501670967e-78,-1.8642622791606813,0.115,0.67,8.107758907534652e-74
G0S2,3.4817846969117334e-77,2.2111574062369104,0.857,0.308,1.270329146668246e-72
JUNB,2.6262987040961296e-76,-1.6221940376723127,0.627,0.922,9.58205082189473e-72
TNFAIP3,4.3460158878345825e-74,1.5472789379923886,0.959,0.631,1.5856438966764474e-69
PTMA,3.15038303136867e-73,-1.3448441818984356,0.82,0.968,1.1494172489948591e-68
DRAM1,4.4449045872752954e-73,1.5579228709592599,0.848,0.392,1.6217234386673915e-68
TYMP,6.594603658118215e-73,-1.2992253263171922,0.74,0.938,2.4060411446644305e-68
PLAUR,2.0250754604917243e-72,1.4459310955465505,0.976,0.869,7.388487817604056e-68
"NACA",1.95462242455204e-71,-0.9165209835609263,0.959,0.996,7.131439915978119e-67
GNAI2,2.4928398281566714e-71,-1.4527238159067886,0.33,0.793,9.095126113029615e-67
ADORA2A,9.166700889181251e-71,1.3063127816454205,0.757,0.17,3.3444708194177794e-66
CYTIP,7.681494212036307e-69,-1.7762269267571091,0.184,0.679,2.8025931632614467e-64
RALA,1.239175645006967e-68,-1.6402183948744613,0.505,0.866,4.5211323408079195e-64
S100A11,1.255707525943717e-68,-0.9439832587493227,0.991,0.998,4.581448908405651e-64
TRAF1,3.96190777779658e-67,1.315142698875272,0.807,0.248,1.4455020527290822e-62
WIPF1,9.005918596593034e-67,-1.4702315787319118,0.104,0.612,3.2858093999669685e-62
GABARAP,1.9040169310568062e-66,-1.0951541499265653,0.85,0.938,6.946805772960757e-62
HMGB1,8.388457322496952e-66,-1.3862675394251556,0.462,0.849,3.060528654113013e-61
ASAH1,9.99303550031187e-66,-1.4326985230027567,0.468,0.843,3.645959002288786e-61
PSAP,1.2035523547331666e-64,-0.9235553158351584,0.931,0.968,4.391160766243958e-60
SPI1,3.064261107833875e-64,-1.3075145220631996,0.468,0.858,1.1179956651931893e-59
PABPC1,5.190607666410668e-64,-0.9477525361149723,0.926,0.985,1.8937932070899323e-59
LGALS1,1.5810572490311542e-63,-1.2278689611732991,0.853,0.976,5.768487373090166e-59
ENG,2.681642121663994e-63,-1.4577756178161367,0.148,0.623,9.783971280891083e-59
CD83,2.728390085111749e-63,1.359503208586704,0.924,0.56,9.954531225530216e-59
RNASEK,8.203182408585813e-63,-0.9004470052320697,0.918,0.978,2.992931101772534e-58
STAT4,1.0157777089190884e-61,1.6748332471928584,0.596,0.097,3.706064970991294e-57
