Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AGTRAP,0,-0.8502441769316191,0.111,0.333,0
SH3BGRL3,0,-0.8167916268019493,0.955,0.982,0
LAPTM5,0,-0.6664604573967448,0.84,0.922,0
PTP4A2,0,-0.6342426185782903,0.46,0.676,0
MFSD2A,0,0.6464350354637924,0.322,0.113,0
JUN,0,-1.2667010662897975,0.483,0.701,0
GBP2,0,0.7221953842122222,0.668,0.448,0
F3,0,1.6602713671943279,0.33,0.083,0
C1orf162,0,-1.433817802226758,0.073,0.427,0
TXNIP,0,-0.9393782784537121,0.301,0.559,0
PDE4DIP,0,0.7258146711751619,0.713,0.429,0
CTSS,0,-1.1919594481980296,0.874,0.942,0
S100A9,0,-1.6730825790821937,0.919,0.962,0
S100A8,0,-1.8488655789901784,0.837,0.914,0
S100A6,0,-0.9179457894874599,0.969,0.988,0
S100A4,0,-1.0832155518371653,0.912,0.964,0
MNDA,0,-2.4731255794012785,0.07,0.421,0
SLAMF7,0,1.0515047629741159,0.503,0.22,0
GLUL,0,-0.926614336614318,0.173,0.431,0
PTGS2,0,2.441954813469706,0.868,0.587,0
RGS2,0,-1.162752365114461,0.204,0.43,0
PTPRC,0,-0.872436858768761,0.474,0.783,0
BTG2,0,-0.8048112312228421,0.242,0.493,0
G0S2,0,1.4172260269334798,0.726,0.446,0
H3F3A,0,-0.5232553937716373,0.947,0.968,0
IRF2BP2,0,-1.0427767293472074,0.253,0.598,0
ZFP36L2,0,-0.9666025136868686,0.115,0.35,0
CALM2,0,-0.966367828822082,0.419,0.713,0
PELI1,0,1.4307424656812022,0.755,0.401,0
PCBP1,0,-0.6893115696649581,0.507,0.71,0
MTHFD2,0,0.7513570508523819,0.564,0.317,0
TMSB10,0,-1.2201248855595317,0.96,0.985,0
VAMP8,0,-0.9282659125053991,0.173,0.406,0
COX5B,0,-0.9050520923569647,0.333,0.619,0
IL1R1,0,0.8830861916748916,0.521,0.26,0
IL1A,0,2.2683070685330966,0.604,0.142,0
IL1B,0,2.525979192000084,0.997,0.957,0
IL1RN,0,1.792938803310467,0.777,0.524,0
MAP3K2,0,-0.7513576331287675,0.282,0.529,0
KYNU,0,0.6209550270404569,0.738,0.507,0
TNFAIP6,0,2.166120702904312,0.738,0.3,0
CD302,0,-1.2214890990096112,0.232,0.533,0
STAT4,0,0.8455774773499959,0.349,0.109,0
SGPP2,0,0.639601610812259,0.181,0.033,0
CCL20,0,3.2634956233687755,0.665,0.168,0
PTMA,0,-0.6438868029897735,0.938,0.988,0
EIF1B,0,1.9458499115629246,0.84,0.586,0
CCR1,0,-0.8593138292886356,0.123,0.362,0
CCRL2,0,1.0344858091507825,0.473,0.193,0
TMA7,0,-0.5996160061978348,0.642,0.799,0
GNAI2,0,-1.4788335639783825,0.205,0.619,0
TKT,0,-1.02807717800358,0.55,0.788,0
ARL6IP5,0,-0.7067477093407879,0.208,0.462,0
CNBP,0,-0.6559548341044685,0.355,0.597,0
RAP2B,0,-0.8024076300997451,0.195,0.466,0
ATP5ME,0,-0.6823942071965241,0.391,0.612,0
C4orf48,0,-0.9399888222607493,0.083,0.358,0
CXCL8,0,2.0826886881456383,0.999,0.984,0
CXCL3,0,1.5654794475630398,0.883,0.621,0
CXCL2,0,1.4155783671486244,0.942,0.806,0
EREG,0,0.7696892858411672,0.87,0.717,0
NFKB1,0,0.8592506083054787,0.869,0.65,0
TNIP3,0,0.5288638563578264,0.14,0.019,0
FNIP2,0,0.992789960800631,0.562,0.263,0
ACSL1,0,0.9132237290441036,0.709,0.467,0
MIR3945HG,0,2.2278058067360087,0.662,0.21,0
BASP1,0,1.2570148498936606,0.809,0.504,0
FYB1,0,-1.2741234087353415,0.109,0.408,0
VCAN,0,-2.420891523796489,0.265,0.702,0
COX7C,0,-0.5363688459881262,0.752,0.863,0
CAST,0,-0.6644619392817477,0.609,0.795,0
TNFAIP8,0,0.7606195299007754,0.812,0.545,0
CSF2,0,1.1551178685045285,0.177,0.024,0
H2AFY,0,-0.8163864485030852,0.326,0.585,0
CD14,0,-1.7161181527128724,0.179,0.564,0
NR3C1,0,0.8979022959043039,0.642,0.408,0
CD74,0,-0.7139801646352804,0.885,0.941,0
DUSP1,0,-1.290214166362726,0.657,0.859,0
PRELID1,0,-0.80513814842104,0.336,0.582,0
RNF130,0,-1.0456086685864943,0.181,0.49,0
SERPINB9,0,0.5799499321111945,0.848,0.592,0
RNF144B,0,0.7806074853200211,0.642,0.367,0
LST1,0,-1.2224544237984907,0.543,0.733,0
AIF1,0,-1.6696700423582262,0.555,0.772,0
CFB,0,0.7704198668252973,0.195,0.038,0
Z95118.2,0,0.786380496387402,0.258,0.041,0
MARCKS,0,0.7162457586281095,0.916,0.832,0
HIVEP2,0,0.7630054215203764,0.447,0.198,0
SNX9,0,0.8917847790515989,0.575,0.277,0
SOD2,0,1.3136476954113903,0.997,0.983,0
WTAP,0,0.8142595399318466,0.86,0.639,0
