Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CD52,0,-0.9785661832067696,0.584,0.752,0
TXNIP,0,-1.2391750504752475,0.423,0.666,0
DUSP1,0,-1.372670519692821,0.099,0.285,0
CREM,0,1.1604264653336802,0.657,0.386,0
SRGN,0,0.5969366126635425,0.907,0.823,0
IFIT3,0,1.1967968557499917,0.242,0.048,0
IFIT1,0,1.00057251474987,0.189,0.032,0
FTH1,0,0.5594494945177955,0.995,0.983,0
FOS,0,-2.871936849376694,0.119,0.353,0
KLF2,0,-0.9889743345987632,0.442,0.63,0
FOSB,0,-1.6260863260738894,0.061,0.265,0
MX1,0,1.0506641192427293,0.342,0.135,0
LTB,9.85173793633182e-307,-0.6630836094531025,0.696,0.817,3.5944065860706645e-302
TMSB10,3.328320681226702e-306,-0.5718059098743735,0.961,0.969,1.2143378005455623e-301
RSAD2,5.182044549138695e-289,0.757918512796334,0.137,0.025,1.890668953753253e-284
OASL,7.12967982513523e-283,0.8884612484870897,0.297,0.129,2.6012636842005888e-278
ISG15,9.593393475328193e-278,1.1700291258045035,0.369,0.199,3.500149609473491e-273
JUN,1.5557020860823056e-271,-1.596420276087099,0.285,0.445,5.675979061071292e-267
IFI16,2.6701148846674512e-260,0.6837308882471884,0.572,0.398,9.741914156709196e-256
PPP1R15A,5.911711581115745e-259,-0.9093412885558707,0.239,0.415,2.1568879703700795e-254
LDHA,1.4122540991407455e-233,0.570510643344122,0.719,0.58,5.15260908071501e-229
VIM,1.2665421818226595e-206,0.3485578718489162,0.984,0.954,4.620979150379973e-202
DDIT4,1.2243754320999853e-205,0.9183688889339787,0.39,0.238,4.467133764016796e-201
CD3G,1.6506094434210877e-201,-0.564252315891697,0.469,0.62,6.022248554321839e-197
HLA-B,4.59189454252317e-191,0.2753194504509793,0.99,0.986,1.6753527238395786e-186
AL499604.1,5.77911979575372e-190,-0.8643668979610217,0.045,0.149,2.1085118574807446e-185
MYL12A,1.2843873877929406e-186,-0.5937382498435935,0.453,0.591,4.6860873843625436e-182
TRAF3IP3,1.0708444758004815e-183,-0.653931588501407,0.115,0.246,3.906976069958057e-179
S100A4,5.0375201472324594e-182,-0.9573387543573211,0.427,0.552,1.8379392257177628e-177
AC007952.4,1.0290273735240757e-181,-0.9387420145026898,0.028,0.119,3.7544063723025904e-177
BATF,2.8088475069927634e-180,0.8584780774728152,0.255,0.131,1.0248080129263097e-175
HERC5,3.5721967352821266e-179,0.7080693509385362,0.232,0.109,1.303315978867684e-174
FYB1,7.737335588051377e-178,-0.5418399978233928,0.448,0.59,2.8229668893005448e-173
ARID5A,8.140291666447203e-178,0.6846004044259277,0.364,0.222,2.969985414503262e-173
IFIT2,1.5860636458982083e-177,0.6673146877638961,0.141,0.045,5.7867532120596126e-173
IFIT5,7.447041472198504e-176,0.5499961053432822,0.163,0.06,2.717053081131624e-171
MX2,1.8305829184730306e-174,0.7501010135259648,0.275,0.147,6.678881778048852e-170
ATP2B1-AS1,5.78732154054781e-167,-0.8145233680437303,0.047,0.145,2.1115042640688685e-162
UBC,1.0120085014578938e-165,0.30666641091917146,0.958,0.931,3.692313017569126e-161
FAM177A1,4.910805991368429e-162,0.5914447917604331,0.472,0.329,1.7917075659507714e-157
PFN1,1.6223759649165534e-159,-0.45846563732976486,0.664,0.752,5.919238707998045e-155
SAMD9,1.3285765626892496e-153,0.5912079366302447,0.406,0.271,4.847311588971727e-149
DNAJB1,1.3454287196190442e-152,-0.7584743394634024,0.19,0.311,4.9087966835300825e-148
EZR,5.314993558494976e-151,0.41556611241552277,0.762,0.648,1.939175399816892e-146
RIPOR2,1.4074722198932376e-148,-0.5626957838953919,0.302,0.437,5.135162394280477e-144
EPSTI1,3.59900913598678e-147,0.5847067971862115,0.22,0.111,1.3130984832647766e-142
TUBA1A,7.363388967909617e-146,-0.6814065286179531,0.195,0.321,2.686532464941824e-141
ISG20,7.8586445468647325e-146,0.6580997472764873,0.565,0.457,2.8672264629235974e-141
EIF2AK2,1.7160223642094686e-144,0.5758627648134002,0.283,0.162,6.260907595818246e-140
TMEM107,1.0813189537806881e-139,-0.9028208875856523,0.083,0.183,3.94519220286884e-135
IRF7,1.343871784944086e-137,0.47695859738435625,0.153,0.064,4.903116207368497e-133
Z93241.1,4.004210207152174e-137,-0.7579724575615562,0.026,0.1,1.4609360940794706e-132
DDX5,2.5865751568062817e-132,-0.3481788459280595,0.881,0.91,9.437119459607718e-128
ACTB,1.2395896972845717e-130,-0.4643285546061766,0.725,0.79,4.52264301054276e-126
OAS2,4.957700897160287e-130,0.46414171677721916,0.15,0.064,1.8088171723289307e-125
AC253572.2,4.441099016369321e-129,-0.9153168261218271,0.059,0.146,1.6203349761223467e-124
ITM2B,1.1044317465011771e-126,-0.3441331939020853,0.749,0.816,4.0295192271095444e-122
METRNL,3.9022685660565917e-122,0.5824074800595831,0.185,0.092,1.4237426863257475e-117
TLE5,1.5525570774456473e-120,-0.4368794793649746,0.492,0.601,5.664504497060444e-116
S100A6,2.5803580842128812e-120,-0.3590260180912619,0.702,0.783,9.414436470250697e-116
SAMSN1,1.569177601934159e-117,0.39122538178504085,0.571,0.44,5.725144480656779e-113
CXCL8,2.869244852994369e-116,0.3519602524356791,0.547,0.412,1.0468439846149954e-111
SRSF5,4.8515316515032965e-116,-0.41747213338048494,0.656,0.731,1.7700813230509776e-111
IFI6,5.1966355872795235e-115,0.6295429142887966,0.174,0.087,1.8959924940189342e-110
NCS1,8.295931284353865e-115,0.459398005916112,0.138,0.059,3.0267705290965077e-110
TGFB1,2.2997368869472115e-114,0.44088054659147513,0.552,0.43,8.390590032026901e-110
GAPDH,2.7049633193392697e-114,0.36861984879293086,0.851,0.812,9.869058670609326e-110
FYN,4.3937142728189175e-113,0.37061838841827344,0.606,0.487,1.603046652437982e-108
CCR7,8.307679356238998e-113,0.46047899397767234,0.542,0.42,3.0310568131237987e-108
AL021155.5,2.981864580002046e-110,-0.7378798414634019,0.077,0.161,1.0879332920137463e-105
TOB1,6.731910842057724e-110,-0.6092346957943215,0.102,0.193,2.4561376707247607e-105
PABPC1,1.951081826691334e-107,0.2897707328979866,0.951,0.942,7.118522044683332e-103
IL32,3.420827833976277e-107,-0.5920293520733511,0.412,0.511,1.2480890352262447e-102
CCNL1,3.92082671306394e-107,-0.5607086555854208,0.309,0.414,1.4305136262613785e-102
